nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
8300,48,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8400,49,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8500,49,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8600,50,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8700,50,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8800,51,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
8900,52,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9000,52,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9100,53,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9200,53,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9300,54,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9400,54,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9500,55,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9600,56,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9700,56,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9800,57,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
9900,57,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
10000,58,0.76,"[<ptreeopt.tree.PTree object at 0x1555284c8ee0>
 <ptreeopt.tree.PTree object at 0x1555284c8850>
 <ptreeopt.tree.PTree object at 0x1555284c8610>]",7,0,10,3,10
100,0,0.85,"[<ptreeopt.tree.PTree object at 0x155528481940>
 <ptreeopt.tree.PTree object at 0x155528481f10>
 <ptreeopt.tree.PTree object at 0x155528481430>]",7,1,10,3,10
200,1,0.85,"[<ptreeopt.tree.PTree object at 0x155528481940>
 <ptreeopt.tree.PTree object at 0x155528481f10>
 <ptreeopt.tree.PTree object at 0x155528481430>]",7,1,10,3,10
300,1,0.83,"[<ptreeopt.tree.PTree object at 0x1555283f5490>
 <ptreeopt.tree.PTree object at 0x1555283f5d30>
 <ptreeopt.tree.PTree object at 0x1555283f5430>]",7,1,10,3,10
