nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
1000,48,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1100,52,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1200,57,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1300,62,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1400,66,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1500,71,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1600,75,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1700,80,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1800,84,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
1900,88,0.91,"[<ptreeopt.tree.PTree object at 0x155528198370>
 <ptreeopt.tree.PTree object at 0x1555281983d0>
 <ptreeopt.tree.PTree object at 0x155528198ca0>]",7,1,30,3,3
